species,locale
occultus,Puerto Rico
luteogularis,Cuba
equestris,Cuba
coelestinus,Hispaniola
aliniger,Hispaniola
bahorucoensis,Hispaniola
olssoni,Hispaniola
insolitus,Hispaniola
cuvieri,Puerto Rico
barahonae,Hispaniola
brevirostris,Hispaniola
distichus,Hispaniola
cristatellus,Puerto Rico
stratulus,Puerto Rico
krugi,Puerto Rico
strahmi,Hispaniola
marcanoi,Hispaniola
alutaceus,Cuba
vanidicus,Cuba
loysiana,Cuba
porcatus,Cuba
paternus,Cuba
angusticeps,Cuba
ahli,Cuba
sagrei,Cuba
ophiolepis,Cuba
valencienni,Jamaica
lineatopus,Jamaica
garmani,Jamaica
grahami,Jamaica
sagrei,Jamaica
distichus,Cat Island
distichus,Ile de la Tortue
heterodermus,Mainland
